04175748,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
04176063,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
04176617,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04177080,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
04177266,0,0,0,2,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
04178000,0,0,0,2,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
04181049,0,0,0,1,1,1,0,2,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0
04182000,0,0,0,1,1,1,2,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0
04183000,0,0,0,1,1,1,1,1,0,2,2,2,1,1,1,1,1,1,0,1,1,1,1,1
04183038,0,0,0,1,1,1,1,1,2,0,2,2,1,1,1,1,1,1,0,1,1,1,1,1
04183500,0,0,0,1,1,1,1,1,2,2,0,2,1,1,1,1,1,1,0,1,1,1,1,1
04183979,0,0,0,1,1,1,1,1,2,2,2,0,1,1,1,1,1,1,0,1,1,1,1,1
041843678,1,1,0,1,1,1,0,0,1,1,1,1,0,2,2,1,1,1,0,1,1,1,1,1
04184500,1,1,0,1,1,1,0,0,1,1,1,1,2,0,2,1,1,1,0,1,1,1,1,1
04185318,1,1,0,1,1,1,0,0,1,1,1,1,2,2,0,1,1,1,0,1,1,1,1,1
04185935,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2,2,1,2,2,2,2,1
04186500,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,2,1,2,2,2,2,1
04188100,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,0,1,2,2,2,2,1
04188496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
04190000,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,1,0,2,2,2,1
04191058,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,1,2,0,2,2,1
04191444,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,0,2,1
04191500,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,0,1
04192500,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
