"observation","site_no","dateTime","water discharge","nitrite+nitrate","latitude","longitude","altitude"
"13874","04190000",2021-04-04,197,4.14,41.0414393,-84.2268905,687.09
"13875","04190000",2021-04-05,212,3.87,41.0414393,-84.2268905,687.09
"13876","04190000",2021-04-05,212,3.87,41.0414393,-84.2268905,687.09
"13877","04190000",2021-04-06,214,3.63,41.0414393,-84.2268905,687.09
"13878","04190000",2021-04-06,214,3.63,41.0414393,-84.2268905,687.09
"13879","04190000",2021-04-07,205,3.44,41.0414393,-84.2268905,687.09
"13880","04190000",2021-04-07,205,3.44,41.0414393,-84.2268905,687.09
"13881","04190000",2021-04-08,182,3.29,41.0414393,-84.2268905,687.09
"13882","04190000",2021-04-08,182,3.29,41.0414393,-84.2268905,687.09
"13883","04190000",2021-04-09,155,3.17,41.0414393,-84.2268905,687.09
"13884","04190000",2021-04-09,155,3.17,41.0414393,-84.2268905,687.09
"13885","04190000",2021-04-10,151,3.09,41.0414393,-84.2268905,687.09
"13886","04190000",2021-04-10,151,3.09,41.0414393,-84.2268905,687.09
"13887","04190000",2021-04-11,210,3.39,41.0414393,-84.2268905,687.09
"13888","04190000",2021-04-11,210,3.39,41.0414393,-84.2268905,687.09
"13889","04190000",2021-04-12,373,3.67,41.0414393,-84.2268905,687.09
"13890","04190000",2021-04-12,373,3.67,41.0414393,-84.2268905,687.09
"13891","04190000",2021-04-13,464,3.24,41.0414393,-84.2268905,687.09
"13892","04190000",2021-04-13,464,3.24,41.0414393,-84.2268905,687.09
"13893","04190000",2021-04-14,391,3.31,41.0414393,-84.2268905,687.09
"13894","04190000",2021-04-14,391,3.31,41.0414393,-84.2268905,687.09
"13895","04190000",2021-04-15,270,3.77,41.0414393,-84.2268905,687.09
"13896","04190000",2021-04-15,270,3.77,41.0414393,-84.2268905,687.09
"13897","04190000",2021-04-16,188,3.88,41.0414393,-84.2268905,687.09
"13898","04190000",2021-04-16,188,3.88,41.0414393,-84.2268905,687.09
"13899","04190000",2021-04-17,150,3.75,41.0414393,-84.2268905,687.09
"13900","04190000",2021-04-17,150,3.75,41.0414393,-84.2268905,687.09
"13901","04190000",2021-04-18,127,3.63,41.0414393,-84.2268905,687.09
"13902","04190000",2021-04-18,127,3.63,41.0414393,-84.2268905,687.09
"13903","04190000",2021-04-19,119,3.52,41.0414393,-84.2268905,687.09
"13904","04190000",2021-04-19,119,3.52,41.0414393,-84.2268905,687.09
"13905","04190000",2021-04-20,115,3.41,41.0414393,-84.2268905,687.09
"13906","04190000",2021-04-20,115,3.41,41.0414393,-84.2268905,687.09
"13907","04190000",2021-04-21,113,3.32,41.0414393,-84.2268905,687.09
"13908","04190000",2021-04-21,113,3.32,41.0414393,-84.2268905,687.09
"13909","04190000",2021-04-22,152,3.63,41.0414393,-84.2268905,687.09
"13910","04190000",2021-04-22,152,3.63,41.0414393,-84.2268905,687.09
"13911","04190000",2021-04-23,198,3.83,41.0414393,-84.2268905,687.09
"13912","04190000",2021-04-23,198,3.83,41.0414393,-84.2268905,687.09
